Datum;Rating;Ldfnr;Produkt;Version;Bemerkungen;vorinstall;Quelle;Lizenztyp;Lizenzgeber;Lizenzbestimmungen;instlocation;Herstellerwebsite;Link;BMIcon
"2024-12-07 21:04:59";"8";"1036";"AfB-Shop Gebrauchthardware";"1.0";"Gebrauchthardware kaufen, gemeinnütziges Unternehmen, beschäftigt benachteiligte Menschen, 7% Mehrwertsteuer.";"";"";"";"";"";"";"https://www.afbshop.de/";"1";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAB5klEQVQ4jc1SS2tTQRT+5nEnKVVjg4rYRwQhRcRFEaQaiyLuBRci1R/gIkhRBBe2XlyItFVB8w8ExeLKjcGim24EoVnYUlojaIuRvlKs1HvvzJ05LkwaH+3CXT84nCffMN85wBaFzwGwRlzPf6//DdqwscnwvwMMAAEAjUCwJ0M9iMI5vOz/iHODOUDuAdEkYnMQYfgOo36lTiDqwd1ix6HLN8LusyP5bDVIP4UnFPYfn4SnRmFNGdK7CM57kVR7MfWqWH+cA8D9122tO1M2PzXeOVH+mrkNF3wG6CikyDKKY+nWSrDhAQg3C5Cu6dEggJPn083Vsf4H1w8Lpcuw+h4MrwC7t1PcOhxPdE2DkitY5cuI1Myv794iAJAAIKVTCystSZQuPbMl9gIAHr9vP7W8qFLk9CznlAsCWWBCtbe1zH9bvLqvs+80m14XsTC2K5tINBWUMjcr39WHlMCA9OiYi4K8dokTZF0omftiGcsanfikPN2hWfT82snqHAfA8j1LM7GlO2GkBraRK3qKMmtL5oKxyZwgLhjnzTF5RxgJJ6XxHDHNfyix4Rofvk3vuNJdXQWAR28yvWBmXFvmZBNXInA68oJAGKn7zizM/3l7fk1QAERgmxzW/8H3wWtEbN03bIvgJzXFx1wT6JWrAAAAAElFTkSuQmCC"
"2022-01-24 12:21:56";"3";"519";"AIDA Server";"06.02.18.19411";"Zeiterfassungs-Software. auf Windows-Server, Windows Clients und Stempeluhren. Software-Updates nur mit gültigem Wartungsvertrag, muss für Einsatz auf neueren Servern aktualisiert werden. Drittanbieterdienstleistung";"";"aus Originalquelle";"Lizenzsoftware";"AIDA ORGA GmbH";"";"sc";"https://www.aida-orga.de/de/";"0";""
"2023-12-01 13:14:02";"1";"577";"AIMP";"5.30";"Audio-Player. Da russischen Ursprungs (Webseite .ru) und nicht quelloffen - bitte deinstallieren";"";"";"kostenfrei auch kommerziell";"";"";"x";"";"0";""
"2022-01-07 10:32:43";"8";"494";"AIS Mobility Suite";"1.0";"Telematiklösung ais alfaplan von der prologistik Tochtergesellschaft - für die LKW-Firmenflotte mit Onboard-Geräten zur Abrechnung/GPS/Ortung";"";"aus Originalquelle";"Lizenzsoftware";"AIS alfaplan GmbH";"";"sc";"https://ais-alfaplan.de/de/produkte/telematik";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAMAAAAoLQ9TAAAAolBMVEX//////fz+9/T//Pz4spD708P1lWr2mWv71cL2k3H71sj82sr2nHD5va32nIH3p4P6xKz97en0g2n84Nn95dr3npD1iHX2nHj4ro/83dryZFPza1f6wrj2loH6x7j0gVn1iYL5saz3pJnwSzP4qpvxWzT4r5nxWFP96Of7y8bzbV70el/7z8XzbGr3oqD2k43vPzDvPDv5t7LyZkzxXT35sLDTIx+0AAAAiUlEQVQYlWNgwAEYGdH4LCyoIqxs7BzIfCZOLm4eJiQBXj5mRn4BBF9QSJiBQYRNEC4gKgYixSVgfEkpaRlZWTl5eREIn1lBUUlZRU1VTYAfYrWkuoamFjOzto4gVAmzrp6+gaKisqgaJ9RmTUN1IwUxGWMTLqihzPqmIMpIFO56Zmawf5ixehsAVYQIk8NhaRwAAAAASUVORK5CYII="
"2023-11-03 17:13:21";"7";"11";"AMOK Playlist Copy";"2.2.5";"Musiktool für MP3-Dateien zum Erstellen von Wiedergabelisten durch Kopie der Datei in einen Ordner und Nummerierung der Dateinamen im Ausgabeordner in Reihenfolge der eingelesenen M3U-Datei, VLC Dateityp Erkennung";"Deploy, Repack";"aus Originalquelle";"kostenfrei auch kommerziell";"Dirk Paehl";"im Installationspaket";"c";"https://www.amok.am/";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAABRElEQVQ4jX1RIU/DQBT+jiCGIvslCMQmKg8SErrMFFxnxgyiyQyQNag2gECcrO3cJq8J4pAVPdz4EVMklWPqIa45bkuzT728l+97730f6CAAREK4nSO0YTSf97VmjAHobDbuqJ2wXXbPVisj+V147YQkjRljL2+PAE6v19267msN4KP0zKoGRmaSZa5MJASAcZgT0dPDK4B4ljRf2ecsxmHOlXLlANz6soVw5ZUAfCmJaBqJMFi408alOE0ZY/eTzJxrZoOi+ArOO7y+WS4BvIsIAGNsUBQgosteZQTsavdCd4lXlnAzAvA8SyzTdLhS7lX7BGvLkCvrARFxpYZcEdGx6d6N5gDCYAHARLH9PTGcnzUAKM4v8NnX+n+D1bYFAFMYu7hSvpQ7BAtfSvv0NBIAwjzfyaEV8SzpVdW+XQcILmzSf97QeNVf+O0DAAAAAElFTkSuQmCC"
"2024-12-05 16:30:28";"1";"509";"AnyDesk";"9.0.1";"Bildschirm-Fernsteuer-Software, mit einem Rechner über das Internet verbinden und Remote-Support leisten oder Geräte fernbedienen. Etwa 10 EUR pro Monat. Alternative: VPN-Verbindung und (UltraVNC oder Bordmittel RDP-Remoteverbindung) -- bitte deinstallieren bzw. kündigen, seit Ende 2023 gibt es Sicherheitslücken in den Verbindungsservern. Downloadlink daher entfernt!";"";"";"Mietlizenz Subscription";"AnyDesk Software GmbH";"im Installationspaket";"cx";"";"0";""
"2018-03-28 10:00:00";"8";"12";"APC Powerchute Business Edition";"9.5.6";"USV-Betriebssoftware und Treiber für USB oder serielle Direktverbindung mit Pserver";"optional";"aus Originalquelle";"kostenfrei auch kommerziell";"APC";"im Installationspaket";"s";"https://www.apc.com/de/de/";"0";""
"2022-01-07 10:54:46";"3";"496";"Apple";"1.0";"Software Updater und andere Werkzeuge rund um das iphone und ipad, bitte nicht auf Terminalservern installieren";"";"Internet";"hardwaregebunden";"apple inc.";"";"c";"https://apple.com";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAB80lEQVQ4jZVTu24aQRQ9d7C3CMuUiCIS0pLGQtDGUlzhRwQxDZ2VJihy2lBbKa00ThHJKR0qPoEoxEjONzBm2VgKkYmCRLu7IOG1ZydFYMzLRW4158x9zOMcwkLYtm1IGckTYU8plQQAIuophfNIRH5Np9PBbD7NgstLZ18p9ZHzWMo0ozCMdQBAENxiOBzB8/wuEVUymY364mC0Wp2KEI70PF89FJ7nKyEc2Wr9eDtXLMRVXghHjsc3S0UXF9/VwcFLjcfjGyWEI4W4yus7C9H56bqrJx8evlGO48xxrusrIZyubdsGk5IKnPMU56Y+0cnJBxQK+zg7+4xisYijo3col19jMBgAADg3wXnMkpIKa0TYM82oLm40vuH09BMAoN1uaz4ej+P6uodEIgEAiMWicF3vOVOKJQ1jTSc2m82lBwaAcvkVNjefamwY6yCiJ2wxkbElavJWnZU8Iwp7QXCniVwutzKxXq+jWq1qHAS3ANBlSuF8OBzpjd3dHWSz2ZVNMpmMXvv+CIBq0D/pMieZfGxNf6Lf7+P4+D22tp7BsizUajVsb+dQKpUAAJ43RK/351ckEm4A90IKVwlpMSZCCrWQpvF/Uu5UpnUPmImnTPPRjJnuJmbylsw01wATaYchvQDYzr2d1W8ATcbUl0U7/wVjx45kN4RH4gAAAABJRU5ErkJggg=="
"2024-10-31 08:24:54";"7";"15";"Audacity";"3.7.0";"Musik-Bearbeitungssoftware zum Bearbeiten, Konvertieren und Erzeugen von MP3 Dateien, mit Effekten und Amplitudendarstellung, Schneidewerkzeugen und Filtern. Benutzt lameMP3 Codec. Nyquist Filter erlauben Tonmodifikationen. Es gibt weitere Plugins auf der Projektwebsite.";"Deploy, Repack";"Internet";"GPL-Lizenz, kostenfrei";"GPL";"im Installationspaket";"c";"https://www.audacityteam.org/download/";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACVUlEQVQ4jY2TuU9UURSHv/OWWZiRYRQ3FGLYBBc0YuIWjTbWNCRaoDZWNha2Gim0Nf4DRmNlIYVxCRWIMdFoAcYAIQRJXJgZgRkQZ2Dee/dYDCAZJPE29+Z3fufLueeeC+uWynpt45isN4gCFnw5D+GWku6PQF1vmaccsBKYPAGRe+DOg5kAMUATaAjmb0DDh3LIGtC3QzAzCAtXQCt0VdcKmL8MM8Pw9eA/qr9twcswpF5AoWvjHsxdgHRvybvaj5XDt2bI9IDaK1puJNGeGopvy36hSrUxXPJlnsJk60quBd3LALcOfIUfNaoSz45vv+/k5WEsEb0luS3X6B8XSNeDLxCqLeV0y3Lyu0po6BNZslQLj7TQGmUiebc4tYTudjHT5KO7c5fCje/2Fv3aTnACKJ6BmrxVAuy8KFJ9RHVT+uTxgTZmnasm5RnJeT5TXuBOLVUQOI87OvvPQTxlyeZ28C8AOCVA6JgIRjWyeHTf2ClG/T3FniJuIrAJBDPpG3JedJeXbgZ3SBAD7mngwTLAjoopPUvoTcHlk48zjMpWtey0hy5ayjM1TqHog6KKgB1ZU4GkSrulMmPgAOp3hIwzHGAFAUHMNnaTcfSV7TCAigBKZu0Vnqjkr6N2fOFs5SLdruVEYpYZX8TEhVDYtqgMfk0M7hqDYpWKCmo/L5um3B3w21r3970ffttVn52uOhpa8nZomEJQsFMJN/NaWkZHhUSnEvkIyZvl4wjM1kEyp32Sz9YlY1JpHxbPW/j5e+5zYyMhkawNQQyqv288rf+1/n7rP/mj+IigS6b6AAAAAElFTkSuQmCC"
"2024-10-27 11:47:07";"8";"16";"AusweisApp";"2.2.2";"Programm zum Nutzen der E-Signatur im elektronischen Personalausweis e-Perso, Statt eines USB NFC-Lesers kann ein NFC fähiges Smartphone remote als Leser dienen. Android und IOS Apps gibt es ebenfalls.";"Deploy";"aus Originalquelle";"kostenfrei auch kommerziell";"Governikus KG, Bundesregierung";"im Installationspaket";"sc";"https://www.ausweisapp.bund.de/download/";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACtUlEQVQ4jZ2TzU+cZRTFf+d53wFmykRmGCqTEQVapKCxYmxiTIxRg58L7crEjenC1MSVxvhHmGisbl1YjdEYNzoLP2pN1bRiujDEFhhpRxy05aPAiCB0eJ/nupgZ3fckd3EX95xz783R8ye+f+TRe4beLHRHI7t7PhJgBBkQ4QDwBggcmAFdqcivb/tfT03/+TInv63O2g3ivdOXL8bFfNcQmCXBTEiRpN/rFZtZmmJ0/x00kglml9c4XMoy3NslHzDDLHZSMZ8+EO80vMyQk0yCcwufcb72pVb+/oOBnn62rwe+uLDK9OIWDxzs4eHb8xjCzLTT8M45gSSc5KYWyvru8qekoi4eP3SMW3N3M9IXcfSu/SgEytMrfDO3JiecJCJB7EMQwGJ93s4ufK50qpsnx15gMD9OE8YTd/YxXEhz8twVTs+sMtKXtsFCRj4gBwbAxeUpVrYXGe+/n8H8OIlPCCEQgpH4wGh/N0duy7K8scvPtc0mtRmx1HzV8lYN5CjdNIJZQK3VAGRGMGOwkCESLG3sAuAk4pZPEmvQ8LuAtTz9T9B2KYy9PY/3oT2GC9ZsetNF6tevsbAxg5MjWGhWMEJL7dLVLTa3G/RlUwAEM1xb43DxQfZ15jhV/Yi51fOkog6cHM5BKnJcqNX5avoqPZmII8O5/xy6yMUGMJQf0+SB57iyWeWdqVf45JcTXPunxspfng9/+I03yhWW1nd4aqLI8M3dAogcFocQZGYYhKfHjwuhcuVd3v7pVXqz+0jWnuWt8iyHSjmOPTTE0fsGLBgmzPmA4nRHnEjESTCciWfGXuTe0qR9feljejpLhGzE8cmDPDZxCwOFjHxoHjl2WKYjSvjgTHX+RsP0/plqJf6xsv5SnOp8PZfWaDvOYDIznKJWnA0BUjvOztd3mDs7v/bav6CEpNVG4t3LAAAAAElFTkSuQmCC"
